formula,prediction,density,Density Score
Re3W,371.633,34.247,2.928
Re3Ru,353.421,38.439,2.740
Re3Pt,344.260,38.968,2.646
ReB2,339.411,16.313,2.596
MoN,334.335,14.964,2.543
Ir,334.330,31.333,2.543
B2W,333.653,16.274,2.536
TaN,329.146,15.393,2.490
BOs,321.086,31.677,2.406
IrW,317.592,40.237,2.370
BMo,314.627,14.968,2.340
Ru3W,312.109,32.897,2.314
B2Mo,308.536,16.104,2.277
WO2,301.879,27.686,2.208
NbIr3,301.234,34.265,2.202
Co(BW)2,296.873,14.098,2.157
B2Ru,296.472,16.375,2.152
SiIr3,294.673,44.763,2.134
CrWN2,292.393,15.020,2.110
TaB2,292.143,15.550,2.108
IrO2,291.013,31.138,2.096
Rh3W,288.444,31.881,2.070
FeRe,283.597,41.387,2.019
UB2Os3,279.764,6.909,1.980
TaMoN,279.463,8.517,1.977
W,275.782,33.665,1.939
Cr2N,273.547,8.600,1.916
CoW,271.306,41.393,1.893
ZrOs2,270.506,42.692,1.884
V2ReOs,270.229,40.370,1.881
TaTiOs2,269.955,45.317,1.879
B12W,268.225,23.166,1.861
Nb4N3,268.184,10.810,1.860
Ta2OsW,266.822,39.582,1.846
TaAlOs2,265.763,47.843,1.835
Co3W,264.529,37.226,1.823
MoPt2,262.458,31.621,1.801
Ni(BMo)2,261.179,14.380,1.788
Co2Mo3N,260.811,27.885,1.784
Ta3N5,260.202,11.778,1.778
MnIr,255.400,73.835,1.728
AlCr3B4,254.716,12.628,1.721
VRu,254.714,44.471,1.721
CoMoP,254.268,14.657,1.717
Fe3Re,253.725,36.679,1.711
TaMn2,252.008,25.932,1.693
HfCo3B2,251.245,6.468,1.685
ScOs3,250.467,37.641,1.677
VPt3,250.387,31.957,1.677
VSiRu2,248.462,41.621,1.657
CoN,248.217,25.533,1.654
HfTaRe2,248.165,42.805,1.654
TaCr2,247.739,29.054,1.649
NbPt3,247.397,32.505,1.646
MnB4,247.377,27.184,1.646
SiMo3,247.079,14.287,1.642
TaBeRu2,246.540,46.519,1.637
Ta2MnOs,245.181,46.868,1.623
TaFeRu2,244.518,49.322,1.616
Ta2VOs,244.230,38.304,1.613
V3Re,243.962,34.398,1.610
SiOs,243.836,31.513,1.609
V2CN,241.475,15.282,1.585
CrRh3,240.612,32.371,1.576
CoPt3,238.881,55.924,1.558
Ta2MoRu,238.866,39.757,1.558
Ti3B4,238.434,12.537,1.553
Mn2Nb,238.242,23.077,1.551
LiIr3,237.990,6.483,1.549
TiNbN2,237.785,15.417,1.547
AlOs,237.349,80.365,1.542
V2C,237.150,8.522,1.540
DyB2Ir3,237.144,7.421,1.540
Ta2NbOs,236.987,37.636,1.538
HfRu3,235.438,37.624,1.522
MnNbP,233.026,14.379,1.497
Nb2C,232.550,8.388,1.493
NiN,232.079,25.419,1.488
BeGeRu2,230.202,77.557,1.468
Ta2VRu,229.859,37.551,1.465
MnSiIr,229.502,47.730,1.461
PW,229.437,14.913,1.460
Ni3Mo,228.978,36.912,1.456
Ta2NbIr,228.914,39.240,1.455
TaZnRu2,228.591,48.491,1.452
PuOs2,228.073,8.187,1.446
Be2IrPt,227.868,79.385,1.444
Cr3Co,227.455,33.133,1.440
HfPt3,227.215,32.568,1.437
Mn2VSi,227.040,39.796,1.436
TaNi2,226.064,27.781,1.426
NbPt,225.760,45.538,1.422
TiPt8,225.622,31.326,1.421
ScNbOs2,225.415,46.502,1.419
Cr3GaN,225.332,9.898,1.418
Fe2P,225.202,34.714,1.417
AlPt3,225.071,57.099,1.415
NbAlRu2,224.522,45.833,1.410
NbFe2,224.151,26.854,1.406
TiGeRu2,224.060,42.836,1.405
