formula,prediction,density,Peak Score
HF,23.720,13.789,3.069
SbF3,51.390,16.963,2.936
CrOF3,95.728,9.239,2.870
HfBr3,4.667,10.906,2.654
AsBr3,2.150,17.977,2.594
H5CNO2,12.837,14.386,2.570
HgIBr,5.828,34.624,2.409
BCl3,2.559,17.133,2.396
YBr3,5.742,10.790,2.396
SmI3,3.356,10.530,2.395
Na2Pd3O4,77.662,7.548,2.353
SnF4,29.146,15.642,2.323
Rb2PdBr6,11.122,13.271,2.289
DyBr3,7.550,10.596,2.273
Rb2WBr6,10.725,13.504,2.265
MnBr2,9.339,35.649,2.245
UF6,10.751,7.196,2.238
RuF6,6.028,7.284,2.238
Rb3Na,8.056,3.718,2.212
NdI3,3.440,10.555,2.207
Rb2SnBr6,10.669,14.198,2.203
NiBr2,7.808,35.251,2.199
Cs2PtI6,6.527,13.176,2.185
K2GeF6,26.648,14.161,2.184
Rb,7.528,3.718,2.181
BaNa2,14.364,3.712,2.157
Li3Th,28.956,3.847,2.129
K3Hg,12.353,9.104,2.127
KCrF3,73.965,27.315,2.122
FeBr2,7.864,35.484,2.121
Cs2PdI6,6.174,13.210,2.117
Rb2GeF6,20.494,14.195,2.116
RbI,13.456,15.431,2.104
K3Cd,11.851,9.148,2.103
Cs2TeI6,5.682,14.541,2.087
Li2GeN2,91.398,6.338,2.056
Rb3Cd,10.095,9.333,2.054
GeF2,69.027,25.418,2.047
PrBr3,14.678,10.695,2.044
CsCa3,15.234,2.774,2.042
SF6,4.896,14.587,2.038
UO3,142.607,10.419,2.037
CsK2Sb,13.805,9.341,2.037
K3As,14.886,9.144,2.033
EuClO,55.519,11.748,2.022
RbMnBr3,16.904,23.861,2.005
Rb2PdCl6,12.217,13.354,2.000
LiBO2,95.232,12.641,1.990
KNaICl,11.977,15.426,1.987
Cs2PbCl6,10.235,14.266,1.977
AsCl3,3.155,17.607,1.967
BaSr3,11.954,2.787,1.956
CsKICl,10.826,15.673,1.953
AcBr3,12.992,10.632,1.937
CsTiBr3,14.401,27.335,1.930
Cs2PtCl6,9.780,13.348,1.930
NaF,44.648,15.284,1.923
Eu,20.521,2.711,1.918
Rb3Sb,11.058,8.979,1.907
K2PtCl6,11.509,13.356,1.902
RbCa3,12.136,2.786,1.902
K3Sn,11.579,9.035,1.894
Li3Sm,19.247,3.848,1.892
SeCl,11.911,20.815,1.890
CsF,25.252,14.560,1.889
Rb2TiCl6,13.220,12.821,1.888
CsCoCl3,16.403,22.653,1.883
Rb7Au5O2,20.026,4.557,1.879
Ba,10.206,2.781,1.860
Li2SiO3,93.195,10.126,1.857
Sn4Bi2Se7,24.777,38.405,1.847
NbTe4,10.807,16.080,1.827
Cs2SCl6F,14.539,25.535,1.819
Li2Pt,64.517,6.602,1.812
Cs2ICl6F,13.614,25.338,1.810
MoBr3,3.269,10.978,1.807
K2SBrCl6,14.920,25.399,1.800
Pt(SCl3)2,8.325,6.510,1.800
Na3Hg,14.844,8.794,1.798
K3P,10.546,9.296,1.794
Li3Cd,22.136,8.687,1.785
NaLiO,47.461,7.439,1.785
KBr,13.114,15.572,1.770
TeF4,14.220,14.808,1.760
Li3Pb,30.223,8.773,1.756
LiBr,19.257,15.618,1.750
Li2NbF6,46.063,12.937,1.750
BiF5,12.114,14.769,1.735
TiSe2,41.793,24.905,1.734
HoI3,3.608,10.676,1.728
Lu8Te,57.992,0.117,1.726
ScBi3,55.995,13.036,1.709
Li2O2,90.817,17.347,1.699
MgWF6,31.550,13.038,1.689
LiTm3,36.634,3.875,1.679
CrTe2,32.267,26.453,1.667
Rb4Br2O,18.124,0.946,1.659
LiCaRh,58.981,6.629,1.659
TiI4,4.090,10.027,1.655
CsTeAu,15.550,12.034,1.651
